Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.001,0.0001,40,40,3,45.6370494551551,52.4969402231787,72.4685666387259,40.7005777865376,65.4633659955053,29.5636208110665,34.0387527979636,145.914242829983
0.001,0.001,40,40,3,45.0335289186924,53.3102592234866,72.9253981559095,40.6366760230408,65.7482033755429,29.4365865565314,34.0102967007023,142.977547405092
0.001,0.01,40,40,3,45.5783738474434,53.6746291574392,73.4031852472758,40.6314449385337,65.4900262635203,29.5049746622716,33.99201824848,141.646049279916
0.001,0.1,40,40,3,45.3185247275775,53.5659809081148,73.02179379715,39.2647651338646,63.5596231475161,28.4202693186678,32.4808407506422,142.032047226005
0.001,1,40,40,3,44.2665549036044,52.1490103558952,70.6538139145013,37.8467189652239,52.5883665357271,29.6658141554307,29.5928661705895,151.73696466675
0.001,10,40,40,3,43.0846605196982,49.1587883113155,68.9438390611903,34.9672504921734,41.6674079193762,30.2501803666086,24.6661725120608,167.145455250368
0.001,100,40,40,3,37.2715842414082,45.7284349097075,65.5699916177703,29.8408806709943,35.5773599039577,25.7243825413763,18.7274832824372,178.551002467738
0.001,1000,40,40,3,40.0377200335289,46.2990515251637,65.7795473595977,31.0134303890693,36.5695789931037,26.9746795522588,19.9808103914528,176.856983518306
0.001,10000,40,40,3,38.9606035205365,46.0632606415923,65.6957250628667,30.6474044796699,35.9892991981653,26.7532714398656,19.5019116214605,177.857163124984
0.001,100000,40,40,3,39.233025984912,46.2312944711541,65.8172673931266,30.808315882885,36.3004140527881,26.8051565409357,19.7287424549293,177.183981226515
0.01,1e-05,40,40,3,45.4945515507125,56.2353775849859,75.0963956412406,39.6498741418435,65.4275404011562,28.4825876020097,33.0534107406234,131.182585677422
0.01,0.0001,40,40,3,45.6035205364627,55.8463561616616,74.777870913663,39.7268041504185,65.1044343742053,28.617592548591,33.0908751835338,132.879515023291
0.01,0.001,40,40,3,45.0628667225482,56.6527718922499,75.3352891869237,39.7747863050702,66.1147895988135,28.4655661783448,33.2445304646698,129.516445583587
0.01,0.01,40,40,3,45.7418273260687,56.9426914460745,75.314333612741,40.42815601014,66.6203502060945,29.0506884172236,33.9246259835617,128.662194647951
0.01,0.1,40,40,3,46.6848281642917,56.7363430084532,74.4593461860855,40.4218927232755,63.4994572916044,29.6810859149879,33.5473628714172,131.121903519184
