Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
100000,0.1,10,10,3,81.075,73.23457734,81.885,70.56638037,69.69733193,71.46226131,67.26263925,89.56145531,,,,,,,,
100000,1,10,10,3,80.075,73.02759793,80.51,69.92130785,68.97034412,70.90728643,66.54137621,90.31800585,,,,,,,,
100000,10,10,10,3,80.44,73.08354885,80.98,70.05995707,69.07328857,71.07984925,66.69419196,90.14614255,,,,,,,,
100000,100,10,10,3,76.18,70.84993512,77.56,66.8886827,65.68355256,68.14396985,63.15084968,97.73231876,,,,,,,,
100000,1000,10,10,3,77.105,70.72731305,78.11,66.92471697,65.79319147,68.10562814,63.19347027,98.0928435,,,,,,,,
100000,10000,10,10,3,77.57,70.49236119,78.27,66.55669929,65.50093249,67.65512563,62.7893111,98.81784399,,,,,,,,
100000,100000,10,10,3,77.57,70.51921789,78.27,66.58970162,65.52463915,67.6981407,62.82541034,98.73457881,,,,,,,,
0.001,1.00E-05,20,20,3,81,79.60688094,82.08,74.79053834,72.33284826,77.53824121,71.89969974,69.72954078,,,,,,,,
0.001,0.0001,20,20,3,81.005,79.6219632,82.085,74.78275612,72.31600515,77.54517588,71.89053676,69.68557557,,,,,,,,
0.001,0.001,20,20,3,81.125,80.20121293,82.595,75.46153456,72.72573077,78.53246231,72.63676726,67.97144219,,,,,,,,
0.001,0.01,20,20,3,81.195,79.8253482,82.265,75.11387935,72.72300377,77.78572864,72.26323335,68.95367203,,,,,,,,
0.001,0.1,20,20,3,81.195,80.43780603,82.535,75.41956255,72.40064086,78.80346734,72.57964503,67.40049048,,,,,,,,
0.001,1,20,20,3,81.385,80.70841694,82.895,75.74261126,72.99594297,78.82974874,72.9520818,66.2876498,,,,,,,,
0.001,10,20,20,3,81.23,81.02148943,83.17,76.06937495,72.4887497,80.11798995,73.28155347,65.87402075,,,,,,,,
0.001,100,20,20,3,80.79,79.3270543,81.96,74.15030121,71.37868967,77.30145729,71.17016068,70.96211647,,,,,,,,
0.001,1000,20,20,3,80.845,80.00806042,82.47,74.79457264,71.64713182,78.39527638,71.8722321,69.00406219,,,,,,,,
0.001,10000,20,20,3,80.925,80.06314637,82.54,74.91933048,71.79014747,78.49633166,72.01186855,68.80141482,,,,,,,,
0.001,100000,20,20,3,80.9,80.06267821,82.54,74.91583451,71.78633392,78.49316583,72.00796827,68.80315212,,,,,,,,
0.01,1.00E-05,20,20,3,81.03,80.79764018,83.32,76.01610295,72.57394832,79.92321608,73.22493659,66.51498894,,,,,,,,
0.01,0.0001,20,20,3,81.005,80.78962106,83.295,76.01388629,72.56843222,79.92442211,73.22233288,66.54415707,,,,,,,,
0.01,0.001,20,20,3,81.3,80.10052058,82.96,75.63981094,72.97615934,78.62567839,72.84026927,68.17951819,,,,,,,,
0.01,0.01,20,20,3,81.135,80.27133988,82.765,75.71005944,72.91779624,78.82582915,72.91291867,67.70306328,,,,,,,,
0.01,0.1,20,20,3,81.28,80.59824573,83.11,75.96531279,73.25161994,79.00331658,73.20435355,66.57885242,,,,,,,,
0.01,1,20,20,3,81.54,80.3369314,82.81,75.41615362,72.65196773,78.53874372,72.58344589,67.50924954,,,,,,,,
0.01,10,20,20,3,81.41,79.84705884,82.44,74.80478521,72.15316357,77.80864322,71.90730028,69.07326634,,,,,,,,
0.01,100,20,20,3,81.19,80.53585019,83.37,75.46237062,71.86233157,79.62788945,72.59189062,67.56435895,,,,,,,,
0.01,1000,20,20,3,80.95,80.05066068,82.81,75.10024535,72.0279548,78.59110553,72.2165872,68.66206727,,,,,,,,
0.01,10000,20,20,3,80.655,80.47221483,82.955,75.17472518,71.54322074,79.37180905,72.27532277,67.81424939,,,,,,,,
0.01,100000,20,20,3,80.615,80.41392446,82.915,75.10297025,71.46859868,79.30351759,72.19518999,68.01139613,,,,,,,,
0.1,1.00E-05,20,20,3,82.98,81.48319407,84.74,77.40742126,74.54934598,80.61015075,74.79845893,63.70220618,,,,,,,,
0.1,0.0001,20,20,3,82.87,81.39181971,84.635,77.26597061,74.4059671,80.47035176,74.64094126,64.00803931,,,,,,,,
0.1,0.001,20,20,3,82.58,81.71811265,84.805,77.55637593,74.37782052,81.13909548,74.95221133,63.18499963,,,,,,,,
0.1,0.01,20,20,3,82.39,81.91923831,85.025,77.57648381,73.94372175,81.6938191,74.95722448,62.89875168,,,,,,,,
0.1,0.1,20,20,3,82.81,81.20318959,84.48,76.90953736,74.22283107,79.92658291,74.24967274,64.5203073,,,,,,,,
0.1,1,20,20,3,82.84,82.63001913,85.685,78.27427229,74.68645368,82.34738693,75.73472866,60.53759734,,,,,,,,
0.1,10,20,20,3,81.58,81.77991268,84.31,77.07220115,73.3366429,81.3101005,74.39539173,63.44477207,,,,,,,,
0.1,100,20,20,3,82.22,80.49055425,83.895,76.04099927,73.16652693,79.28592965,73.27339933,67.07820805,,,,,,,,
0.1,1000,20,20,3,83.055,81.07912518,84.665,77.12776681,74.33149593,80.27040201,74.48844821,65.04188155,,,,,,,,
0.1,10000,20,20,3,82.87,80.2114511,83.92,76.04724475,74.0225606,78.29040201,73.32031703,67.32418253,,,,,,,,
0.1,100000,20,20,3,82.9,80.32900743,83.95,76.23713395,74.2178955,78.47497487,73.53170958,66.93271286,,,,,,,,
1,1.00E-05,20,20,3,88.885,84.72459645,90.16,83.26358861,81.61086761,85.10130653,81.35698971,52.01443816,,,,,,,,
1,0.0001,20,20,3,88.895,84.73442205,90.165,83.26634243,81.61473887,85.10326633,81.35997195,51.98206115,,,,,,,,
1,0.001,20,20,3,88.4,84.20012404,89.67,82.44894397,80.68163912,84.40447236,80.44892723,53.84179294,,,,,,,,
1,0.01,20,20,3,90.04,84.35274793,90.475,83.05371937,82.0936785,84.08266332,81.15082399,52.69700384,,,,,,,,
1,0.1,20,20,3,90.245,84.56131569,90.69,83.25450868,82.23349368,84.34839196,81.37241337,52.04796606,,,,,,,,
1,1,20,20,3,91.135,84.75371945,91.135,83.4766163,82.7003965,84.26904523,81.63010233,51.2119785,,,,,,,,
1,10,20,20,3,89.4,83.89717285,89.59,82.34711838,81.05317798,83.72613065,80.35236473,54.43722153,,,,,,,,
1,100,20,20,3,87.79,82.93255969,88.45,80.94598077,79.90364157,82.05080402,78.80449448,57.47510049,,,,,,,,
1,1000,20,20,3,87.56,82.69951872,88.2,80.09354587,78.48503422,81.81834171,77.83209318,58.70072636,,,,,,,,
1,10000,20,20,3,88.225,83.10691627,88.785,80.82717533,79.42152416,82.33773869,78.65351417,57.20322236,,,,,,,,
1,100000,20,20,3,88.22,83.09946785,88.785,80.8231069,79.42768747,82.32090452,78.64954826,57.21940952,,,,,,,,
10,1.00E-05,20,20,3,91.32,84.67267716,91.32,83.87039337,83.30487139,84.44427136,82.07353072,51.31883288,,,,,,,,
10,0.0001,20,20,3,91.4,84.73851508,91.4,83.98573779,83.42551855,84.55407035,82.20189285,51.09409077,,,,,,,,
10,0.001,20,20,3,91.385,84.69811018,91.385,83.95219466,83.38824082,84.52437186,82.1645103,51.23043843,,,,,,,,
10,0.01,20,20,3,91.425,84.77429641,91.425,84.01312734,83.46711209,84.56703518,82.23261387,50.96562648,,,,,,,,
10,0.1,20,20,3,91.495,85.00148763,91.495,84.20132059,83.64588098,84.76452261,82.44176484,50.21592466,,,,,,,,
10,1,20,20,3,91.5,85.23014748,91.5,84.17724733,83.49877607,84.86773869,82.41175852,49.54554429,,,,,,,,
10,10,20,20,3,88.385,83.49401508,89,81.34600545,80.11410906,82.66994975,79.2411618,55.74562262,,,,,,,,
10,100,20,20,3,90.6,84.06854101,90.6,82.72504722,81.99850847,83.4661809,80.79640203,53.43877203,,,,,,,,
10,1000,20,20,3,88.555,83.3479592,89.14,81.26635863,80.05412428,82.55371859,79.14874368,56.19683935,,,,,,,,
10,10000,20,20,3,90.19,84.16791144,90.39,82.77374094,81.88501835,83.69291457,80.8434637,53.23453571,,,,,,,,
10,100000,20,20,3,90.155,84.12137782,90.355,82.71879543,81.81800864,83.65060302,80.78204354,53.39814639,,,,,,,,
100,1.00E-05,20,20,3,88.99,82.87974389,89.33,81.24463546,80.48685758,82.02035176,79.14787161,57.42023901,,,,,,,,
100,0.0001,20,20,3,89.095,82.86915581,89.435,81.35466638,80.60332357,82.12366834,79.27027653,57.45084463,,,,,,,,
100,0.001,20,20,3,87.56,82.22950514,88.23,80.05310922,79.10320695,81.04020101,77.81302059,59.72723405,,,,,,,,
