Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
1000,0.001,10,10,3,70.525,61.9528182357189,71.775,57.9146237991325,55.9929216098385,59.9922613065327,53.0822475061397,127.896124511384
1000,0.01,10,10,3,70.66,62.0599296315512,71.91,58.0509796468207,56.1481021121007,60.1077889447236,53.2350006500988,127.522635112436
1000,0.1,10,10,3,71.775,62.5108292235568,72.425,58.0784781962429,56.1064384072909,60.2205527638191,53.2553581906997,126.09372306517
1000,1,10,10,3,70.425,62.0414321966215,71.635,56.7162614808174,53.8932633641481,59.8795477386935,51.6494463703506,128.339453989662
1000,10,10,10,3,72.895,64.0341660890995,73.32,58.3525251547908,55.228223247331,61.970351758794,53.4307336947567,122.108378548167
1000,100,10,10,3,60.805,54.6357933257222,61.24,41.413119849163,35.9035340388441,49.1234170854271,33.7693772717257,156.193865147966
1000,1000,10,10,3,56.87,51.3890560099998,57.615,36.6347356806682,30.7088482660401,45.6841708542714,28.0507332845707,168.035325869621
1000,10000,10,10,3,56.565,50.6263408562569,57.16,35.2478005547667,28.9449431736721,45.1595979899497,26.3011496540523,171.191582857957
1000,100000,10,10,3,55.905,50.055370720067,56.525,34.8830621673077,28.6383445257844,44.7157286432161,25.8729306425892,172.990531891259
10000,1e-05,10,10,3,68.34,58.8220838979965,69.46,54.886582469853,53.5611982626233,56.2938693467337,49.7596950651525,137.831316643665
10000,0.0001,10,10,3,68.35,58.8774874173083,69.235,54.5752597469765,53.1086117740386,56.1379396984925,49.3967404815382,137.773590082693
10000,0.001,10,10,3,68.06,58.7546372380877,69.11,54.5183846273453,53.1297601304911,55.9933165829146,49.3430305507563,138.098322509188
10000,0.01,10,10,3,69.17,59.0425616364003,69.865,54.9158871147079,53.6610321610304,56.2434170854271,49.801029403441,137.05537660703
10000,0.1,10,10,3,68.29,59.5839419401086,69.47,55.4061848030427,54.0272430711876,56.8782914572864,50.3350636021008,135.366335735962
