Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
10000,0.001,21,21,3,72.52380952,63.78952462,73.28571429,61.18294711,55.71150192,67.90804598,54.18470288,107.8223748,,,,,,,,
10000,1,14,14,3,72.0952381,62.06951237,72.66666667,59.82934876,55.40973109,65.21182266,52.73006807,110.9380278,,,,,,,,
0.1,1,7,7,3,71.76190476,62.67013109,73.61904762,59.19351662,56.71906238,61.94417077,52.276913,106.8310241,,,,,,,,
10000,10,14,14,3,71.52380952,60.41029707,72,57.92651201,53.9733618,62.591133,50.54720236,114.9101751,,,,,,,,
10000,1,21,21,3,71.28571429,61.57779862,71.95238095,59.41903387,54.9145267,64.89655172,52.18837452,112.3766727,,,,,,,,
0.1,0.1,21,21,3,71.23809524,63.89917784,73.71428571,59.95195404,57.02710109,63.22824302,53.11269796,103.849533,,,,,,,,
1000,10,21,21,3,70.9047619,62.12571821,72.19047619,57.25086541,52.85414111,62.64696223,49.61706559,110.4406184,,,,,,,,
10000,1,7,7,3,70.52380952,60.71803841,71,58.45312343,53.96929534,63.92775041,51.07316845,114.7370782,,,,,,,,
0.1,0.01,21,21,3,70.19047619,64.24790658,72.95238095,60.08661199,55.9511522,64.97865353,53.12259966,104.7922847,,,,,,,,
0.1,0.001,21,21,3,69.19047619,62.43179091,71.71428571,58.73404459,55.55179027,62.40722496,51.61290443,108.5249208,,,,,,,,
0.1,10,14,14,3,69.0952381,62.24199739,71.52380952,56.65152847,51.98476738,62.52873563,48.79355997,110.5286016,,,,,,,,
0.1,1.00E-05,21,21,3,69.04761905,62.47009403,71.47619048,58.60234254,55.44625772,62.23316913,51.46862162,108.4129293,,,,,,,,
0.1,0.0001,21,21,3,69.04761905,62.47009403,71.47619048,58.60234254,55.44625772,62.23316913,51.46862162,108.4129293,,,,,,,,
10000,10,7,7,3,68.38095238,57.83311694,69.19047619,55.4779563,52.27204566,59.22167488,47.77732491,121.5693472,,,,,,,,
10000,10,21,21,3,68.0952381,59.26638989,69,56.12949172,51.71611012,61.45812808,48.3495863,118.5037551,,,,,,,,
0.1,10,21,21,3,63.61904762,59.99833921,66.71428571,53.4892183,46.57823219,63.73399015,44.46950079,120.6269969,,,,,,,,
